List File,15.lst
Start Time,2017-05-04  18:59:24
Sampling Time,59 sec

Count,22
Particles / ml,857

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),100.26,24.17,178.16,41.22,41.11
Aspect Ratio,0.78,0.39,0.97,0.14,17.42
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.41,0.88,0.12,16.98
Circularity (Hu),0.91,0.54,0.99,0.12,12.97
Compactness,1.72,1.09,6.63,1.15,66.74
Diameter (ABD),11.03,5.55,15.06,2.50,22.70
Diameter (ESD),12.66,8.27,18.19,2.67,21.07
Elongation,2.93,1.00,18.77,3.75,127.92
Geodesic Aspect Ratio,0.56,0.05,1.00,0.29,51.81
Geodesic Length,19.05,8.88,64.02,11.30,59.34
Geodesic Thickness,8.57,2.78,11.71,2.44,28.51
Image Height,37.36,26.00,46.00,5.57,14.90
Image Width,36.27,20.00,46.00,5.67,15.62
Intensity,143.91,106.89,178.22,18.27,12.70
Length,14.44,9.88,19.39,2.48,17.17
Perimeter,55.24,34.93,134.86,20.55,37.20
Roughness,1.29,1.06,2.19,0.27,21.15
Sigma Intensity,31.82,10.87,49.67,11.11,34.92
Sum Intensity,70961.64,25683.00,1.25e+005,30415.56,42.86
Transparency,0.13,0.05,0.33,0.07,56.71
Volume (ABD),802.18,89.37,1788.91,461.32,57.51
Width,10.67,3.04,17.12,3.28,30.75

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,3,13.64,3.61,117,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4,18.18,5.51,156,0.06
10-15um,13,59.09,50.67,506,0.52
15-20um,5,22.73,43.82,195,0.45
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,4.55,1.90,39,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

