List File,16_copy.lst
Start Time,2017-05-04  18:41:20
Sampling Time,59 sec

Count,32  of  32
Particles / ml,1255

Efficiency,8.7%
PPUI,1.11

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),93.66,20.01,174.50,36.92,39.42
Aspect Ratio,0.81,0.57,0.97,0.11,13.33
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.76,0.59,0.86,0.08,9.92
Circularity (Hu),0.94,0.84,0.98,0.04,4.36
Compactness,1.60,1.09,4.47,0.62,38.55
Diameter (ABD),10.67,5.05,14.91,2.38,22.29
Diameter (ESD),12.10,6.14,18.29,2.71,22.38
Elongation,2.55,1.00,11.97,2.09,81.72
Geodesic Aspect Ratio,0.55,0.08,1.00,0.28,51.06
Geodesic Length,18.08,8.13,47.22,8.62,47.69
Geodesic Thickness,8.18,3.94,13.13,2.34,28.62
Image Height,36.75,22.00,50.00,5.79,15.76
Image Width,35.19,23.00,44.00,5.10,14.48
Intensity,139.77,98.05,175.37,20.04,14.34
Length,13.73,7.45,21.57,2.87,20.88
Perimeter,52.52,28.62,102.33,15.89,30.25
Roughness,1.23,1.04,1.91,0.19,15.33
Sigma Intensity,37.10,19.79,58.39,12.35,33.29
Sum Intensity,64405.28,24329.00,1.35e+005,25784.34,40.03
Transparency,0.12,0.06,0.20,0.04,31.75
Volume (ABD),721.96,67.34,1733.97,395.66,54.80
Width,10.34,4.14,15.75,2.79,27.00

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,2,6.25,0.76,78,0.01
7-8um,2,6.25,1.29,78,0.02
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5,15.63,3.42,196,0.05
10-15um,23,71.88,68.19,902,0.91
15-20um,4,12.50,28.39,157,0.38
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,3.13,1.37,39,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

