List File,9.lst
Start Time,2017-05-04  18:43:53
Sampling Time,1 min 0 sec

Count,28
Particles / ml,1071

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),113.71,20.83,374.33,60.05,52.81
Aspect Ratio,0.80,0.60,0.99,0.10,13.13
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.35,0.96,0.13,17.43
Circularity (Hu),0.93,0.71,1.00,0.06,6.68
Compactness,1.64,1.11,4.24,0.68,41.28
Diameter (ABD),11.73,5.15,21.83,2.74,23.32
Diameter (ESD),13.20,7.36,22.30,2.78,21.08
Elongation,2.65,1.00,11.22,2.31,86.98
Geodesic Aspect Ratio,0.59,0.09,1.00,0.33,55.55
Geodesic Length,18.87,9.11,36.44,7.27,38.53
Geodesic Thickness,9.21,2.02,20.15,3.35,36.34
Image Height,39.07,25.00,55.00,5.79,14.81
Image Width,37.29,29.00,54.00,4.94,13.26
Intensity,137.18,90.22,185.71,20.67,15.07
Length,14.97,8.74,22.48,2.92,19.48
Perimeter,56.17,36.44,83.85,12.49,22.24
Roughness,1.24,1.06,1.81,0.19,15.69
Sigma Intensity,32.68,20.12,53.72,8.88,27.18
Sum Intensity,72480.32,27857.00,1.50e+005,26304.18,36.29
Transparency,0.11,0.02,0.30,0.05,46.64
Volume (ABD),991.86,71.52,5448.12,946.81,95.46
Width,11.20,5.80,21.83,2.93,26.17

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,3.57,0.54,38,0.01
8-9um,1,3.57,0.99,38,0.01
0-5um,0,0.00,0.00,0.00,0.00
5-10um,3,10.71,2.79,115,0.04
10-15um,22,78.57,67.34,842,0.99
15-20um,2,7.14,14.75,77,0.22
20-25um,1,3.57,15.12,38,0.22
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,1,3.57,1.26,38,0.02
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

