List File,13.lst
Start Time,2017-04-30  16:28:26
Sampling Time,42 sec

Count,30
Particles / ml,1639

Efficiency,8.7%
PPUI,1.03

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),92.71,21.04,336.06,55.91,60.31
Aspect Ratio,0.76,0.40,0.99,0.13,17.49
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.55,0.95,0.09,11.60
Circularity (Hu),0.92,0.64,1.00,0.07,7.45
Compactness,1.66,1.10,3.20,0.40,24.32
Diameter (ABD),10.51,5.18,20.69,2.81,26.69
Diameter (ESD),12.07,7.31,21.16,2.82,23.34
Elongation,2.79,1.00,7.93,1.42,50.86
Geodesic Aspect Ratio,0.45,0.13,1.00,0.24,53.78
Geodesic Length,18.52,9.16,39.37,5.76,31.13
Geodesic Thickness,7.54,3.29,19.13,2.89,38.33
Image Height,36.10,25.00,53.00,5.34,14.79
Image Width,36.33,21.00,52.00,6.14,16.91
Intensity,123.03,87.65,172.51,19.62,15.95
Length,13.78,9.24,21.43,2.72,19.77
Perimeter,52.12,32.99,88.67,11.87,22.77
Roughness,1.18,1.06,1.49,0.09,7.50
Sigma Intensity,39.81,20.47,53.45,8.47,21.27
Sum Intensity,54935.33,18643.00,1.22e+005,23059.92,41.98
Transparency,0.13,0.02,0.30,0.05,36.50
Volume (ABD),747.95,72.59,4634.27,806.49,107.83
Width,10.07,3.23,20.72,3.15,31.25

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,2,6.67,1.28,109,0.02
8-9um,1,3.33,1.16,55,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,5,16.67,5.22,273,0.09
10-15um,21,70.00,59.22,1147,1.05
15-20um,3,10.00,20.23,164,0.36
20-25um,1,3.33,15.34,55,0.27
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,2,6.67,2.78,109,0.05
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

