List File,9.lst
Start Time,2017-05-03  16:02:47
Sampling Time,45 sec

Count,127
Particles / ml,6446

Efficiency,8.6%
PPUI,1.12

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),128.62,19.60,327.88,56.84,44.19
Aspect Ratio,0.73,0.23,0.97,0.13,18.42
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.14,0.91,0.14,20.40
Circularity (Hu),0.88,0.18,0.99,0.12,13.84
Compactness,1.98,1.04,10.28,1.35,68.35
Diameter (ABD),12.45,5.00,20.43,2.98,23.92
Diameter (ESD),14.41,5.82,22.95,3.23,22.44
Elongation,3.82,1.00,30.25,4.37,114.66
Geodesic Aspect Ratio,0.44,0.03,1.00,0.27,60.89
Geodesic Length,23.74,7.52,83.78,11.41,48.05
Geodesic Thickness,8.27,1.78,15.25,2.77,33.46
Image Height,40.51,23.00,60.00,6.69,16.51
Image Width,40.11,24.00,59.00,6.73,16.78
Intensity,138.47,91.98,205.68,22.04,15.91
Length,16.77,7.12,26.01,3.66,21.83
Perimeter,64.03,26.74,173.11,20.90,32.63
Roughness,1.27,1.04,2.51,0.22,17.43
Sigma Intensity,39.14,4.00,57.49,9.83,25.11
Sum Intensity,82998.00,23343.00,2.12e+005,37756.66,45.49
Transparency,0.14,0.04,0.59,0.08,58.45
Volume (ABD),1177.22,65.29,4466.25,762.96,64.81
Width,11.59,3.12,20.13,3.23,27.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.79,0.05,51,0.01
6-7um,1,0.79,0.08,51,0.01
7-8um,4,3.15,0.40,203,0.05
8-9um,1,0.79,0.16,51,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,11,8.66,1.47,558,0.17
10-15um,65,51.18,34.96,3299,4.06
15-20um,45,35.43,50.38,2284,5.85
20-25um,6,4.72,13.20,305,1.53
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4,3.15,0.79,203,0.09
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

