List File,8.lst
Start Time,2017-05-05  17:12:49
Sampling Time,1 min 0 sec

Count,457
Particles / ml,17508

Efficiency,8.6%
PPUI,1.36

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),114.31,19.60,259.44,43.31,37.89
Aspect Ratio,0.76,0.41,1.00,0.13,16.71
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.35,0.90,0.11,15.08
Circularity (Hu),0.91,0.26,0.99,0.08,9.06
Compactness,1.71,1.03,12.16,0.69,40.37
Diameter (ABD),11.83,5.00,18.18,2.35,19.88
Diameter (ESD),13.58,5.38,19.53,2.30,16.94
Elongation,2.97,1.00,36.19,2.27,76.37
Geodesic Aspect Ratio,0.42,0.03,1.00,0.20,47.74
Geodesic Length,21.03,5.97,48.74,5.50,26.17
Geodesic Thickness,8.11,1.35,16.23,2.36,29.09
Image Height,39.20,24.00,53.00,5.34,13.61
Image Width,38.59,23.00,51.00,4.94,12.80
Intensity,137.84,83.42,190.80,19.70,14.29
Length,15.62,5.98,22.15,2.47,15.81
Perimeter,58.28,23.88,100.18,10.57,18.15
Roughness,1.24,1.05,2.21,0.14,11.58
Sigma Intensity,42.58,11.86,57.98,7.42,17.43
Sum Intensity,76014.68,18771.00,1.86e+005,30947.49,40.71
Transparency,0.13,0.05,0.52,0.05,41.51
Volume (ABD),968.71,65.29,3143.59,540.09,55.75
Width,11.25,4.29,17.75,2.56,22.74

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.22,0.01,38,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,7,1.53,0.22,268,0.06
8-9um,8,1.75,0.39,306,0.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,31,6.78,1.68,1188,0.42
10-15um,306,66.96,55.54,11723,14
15-20um,120,26.26,42.78,4597,11
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,15,3.28,1.05,575,0.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

