List File,04_copy.lst
Start Time,2017-05-08  12:55:42
Sampling Time,47 sec

Count,109  of  109
Particles / ml,5376

Efficiency,8.6%
PPUI,1.20

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),86.74,20.22,180.26,33.24,38.32
Aspect Ratio,0.74,0.26,0.99,0.13,17.88
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.35,0.88,0.10,14.12
Circularity (Hu),0.90,0.47,0.99,0.08,8.63
Compactness,1.71,1.16,4.30,0.46,26.72
Diameter (ABD),10.31,5.07,15.15,2.02,19.59
Diameter (ESD),12.02,6.41,16.41,1.96,16.27
Elongation,2.94,1.00,11.41,1.58,53.75
Geodesic Aspect Ratio,0.43,0.09,1.00,0.22,51.00
Geodesic Length,18.88,8.49,37.98,4.99,26.42
Geodesic Thickness,7.30,2.91,14.10,2.26,30.90
Image Height,36.39,25.00,48.00,4.48,12.31
Image Width,35.64,25.00,49.00,4.58,12.86
Intensity,143.38,96.39,182.11,16.79,11.71
Length,14.00,7.21,19.13,2.08,14.89
Perimeter,52.37,33.31,82.61,9.21,17.58
Roughness,1.26,1.07,2.10,0.16,12.70
Sigma Intensity,42.65,22.46,56.91,7.68,18.01
Sum Intensity,62909.49,21205.00,1.34e+005,24110.83,38.33
Transparency,0.15,0.06,0.38,0.05,36.34
Volume (ABD),640.46,68.37,1820.60,365.51,57.07
Width,9.75,2.31,14.82,2.24,22.95

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,0.92,0.13,49,0.01
7-8um,2,1.83,0.45,99,0.02
8-9um,5,4.59,1.55,247,0.08
0-5um,0,0.00,0.00,0.00,0.00
5-10um,17,15.60,6.28,839,0.33
10-15um,85,77.98,80.25,4193,4.23
15-20um,7,6.42,13.48,345,0.71
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,9,8.26,4.14,444,0.22
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

